Name,Country,BirthDate
Artist_0,United States,2000-10-01
Artist_1,United Kingdom,1994-07-17
Artist_2,France,2003-12-18
Artist_3,France,1973-05-12
Artist_4,Canada,1999-12-04
Artist_5,Canada,1980-07-21
Artist_6,United States,1993-08-22
Artist_7,Germany,1976-10-17
Artist_8,United States,1966-02-18
Artist_9,Australia,1966-11-30
Artist_10,Germany,1987-10-28
Artist_11,United Kingdom,2003-10-02
Artist_12,Germany,1999-06-05
Artist_13,Germany,1976-07-14
Artist_14,United Kingdom,1993-03-13
Artist_15,Germany,1992-06-08
Artist_16,United States,1972-02-16
Artist_17,United States,1976-12-20
Artist_18,Australia,1966-01-09
Artist_19,Australia,1975-12-25
Artist_20,United States,1990-04-17
Artist_21,United States,1968-10-24
Artist_22,France,1985-09-07
Artist_23,United Kingdom,1990-03-21
Artist_24,France,1983-05-17
Artist_25,France,1987-11-28
Artist_26,Canada,1998-05-30
Artist_27,Germany,1987-05-03
Artist_28,United Kingdom,2000-10-11
Artist_29,France,1965-05-26
Artist_30,Germany,2002-11-17
Artist_31,United States,1971-06-22
Artist_32,France,2002-10-12
Artist_33,United States,1976-07-24
Artist_34,Canada,1978-10-19
Artist_35,Germany,1987-04-29
Artist_36,Germany,2000-10-27
Artist_37,Australia,2000-06-03
Artist_38,Canada,2002-03-18
Artist_39,Canada,1973-09-09
Artist_40,United States,1988-04-11
Artist_41,United States,1968-04-27
Artist_42,United States,1976-07-28
Artist_43,United States,1970-12-03
Artist_44,United States,1985-08-20
Artist_45,France,1995-08-27
Artist_46,France,1967-08-16
Artist_47,United Kingdom,1993-02-17
Artist_48,United States,1965-08-28
Artist_49,France,1988-05-31
Artist_50,Canada,1966-03-23
Artist_51,Germany,1994-03-01
Artist_52,United States,1987-08-10
Artist_53,France,1996-08-16
Artist_54,Germany,1980-05-12
Artist_55,Australia,1984-05-14
Artist_56,Australia,1990-03-26
Artist_57,Canada,1983-06-12
Artist_58,United States,2000-07-23
Artist_59,Germany,1985-01-18
Artist_60,Germany,1990-05-29
Artist_61,United States,1993-02-06
Artist_62,Australia,2001-02-09
Artist_63,Germany,1981-09-11
Artist_64,Germany,1965-09-10
Artist_65,France,1985-10-18
Artist_66,Canada,1999-12-07
Artist_67,Germany,1976-09-13
Artist_68,Germany,1984-11-04
Artist_69,Germany,1981-02-20
Artist_70,United Kingdom,2001-03-05
Artist_71,Canada,1980-06-11
Artist_72,United Kingdom,1991-05-26
Artist_73,Germany,1975-05-21
Artist_74,United States,1972-04-06
Artist_75,Germany,1978-10-26
Artist_76,United States,1982-05-15
Artist_77,Australia,1967-01-02
Artist_78,Canada,1987-01-12
Artist_79,Canada,1991-01-21
Artist_80,United States,1968-08-06
Artist_81,United States,2003-04-29
Artist_82,Germany,1993-04-30
Artist_83,Australia,1985-01-08
Artist_84,Germany,1982-11-23
Artist_85,Germany,1972-05-14
Artist_86,United Kingdom,1968-05-19
Artist_87,United States,1996-04-26
Artist_88,United Kingdom,1974-10-04
Artist_89,Canada,1971-03-10
Artist_90,Australia,1979-10-05
Artist_91,France,1972-12-13
Artist_92,United States,1968-03-15
Artist_93,France,1983-02-11
Artist_94,Australia,1980-12-14
Artist_95,Canada,1991-12-06
Artist_96,France,1987-12-03
Artist_97,Germany,1967-09-03
Artist_98,Germany,1981-08-19
Artist_99,France,2002-08-17
Artist_100,United States,1976-02-25
Artist_101,Australia,1966-05-09
Artist_102,Australia,1983-02-21
Artist_103,United States,1993-08-04
Artist_104,United Kingdom,1972-06-02
Artist_105,Canada,1995-07-25
Artist_106,Australia,1968-08-16
Artist_107,United States,1990-10-04
Artist_108,Canada,1977-07-02
Artist_109,United States,1976-08-10
Artist_110,Australia,1985-11-03
Artist_111,Australia,1975-10-27
Artist_112,Australia,1968-12-30
Artist_113,Australia,1991-02-07
Artist_114,France,1976-02-02
Artist_115,Australia,1988-04-15
Artist_116,Canada,1984-02-07
Artist_117,Germany,1998-05-16
Artist_118,Australia,1970-04-25
Artist_119,Australia,1995-10-23
Artist_120,Germany,1968-07-03
Artist_121,Canada,1966-03-23
Artist_122,United Kingdom,1973-07-30
Artist_123,France,1992-10-18
Artist_124,Australia,1973-12-20
Artist_125,Canada,1971-04-26
Artist_126,United States,1995-11-02
Artist_127,United Kingdom,1989-04-01
Artist_128,United States,2000-01-29
Artist_129,United States,1995-04-11
Artist_130,Australia,1986-01-30
Artist_131,Germany,1967-12-31
Artist_132,Australia,1975-11-28
Artist_133,Canada,1992-08-18
Artist_134,France,2003-10-27
Artist_135,United Kingdom,2002-04-11
Artist_136,Canada,1996-08-12
Artist_137,United States,1981-12-14
Artist_138,Canada,2001-12-17
Artist_139,France,1997-01-31
Artist_140,France,1991-07-25
Artist_141,Australia,1982-03-09
Artist_142,Germany,1978-03-27
Artist_143,Canada,1967-09-16
Artist_144,Australia,1999-08-15
Artist_145,Australia,2002-09-24
Artist_146,United States,1970-05-26
Artist_147,Canada,2003-09-08
Artist_148,United States,2002-01-03
Artist_149,United Kingdom,1991-01-01
Artist_150,United States,2002-02-27
Artist_151,United States,1992-01-27
Artist_152,France,1979-09-04
Artist_153,United Kingdom,1996-02-27
Artist_154,Canada,1994-04-01
Artist_155,United States,2003-03-05
Artist_156,Australia,1967-05-24
Artist_157,United States,1968-09-12
Artist_158,France,1982-03-23
Artist_159,France,1997-10-09
Artist_160,United States,1988-04-26
Artist_161,Germany,1989-03-30
Artist_162,United Kingdom,1973-08-15
Artist_163,France,1991-12-03
Artist_164,Australia,1999-04-04
Artist_165,Canada,1981-05-10
Artist_166,United Kingdom,1972-04-17
Artist_167,United Kingdom,1991-10-19
Artist_168,France,1974-07-31
Artist_169,France,1986-05-05
Artist_170,United States,1972-12-18
Artist_171,Canada,1978-08-11
Artist_172,Australia,1965-10-19
Artist_173,United Kingdom,1987-07-18
Artist_174,Germany,1986-12-26
Artist_175,United Kingdom,1971-04-23
Artist_176,Germany,1998-10-18
Artist_177,Canada,1979-02-09
Artist_178,Canada,1970-06-24
Artist_179,Australia,1999-11-09
Artist_180,Germany,1989-02-25
Artist_181,France,1978-01-11
Artist_182,Australia,1993-05-27
Artist_183,Australia,1967-11-09
Artist_184,France,1988-07-03
Artist_185,France,1971-01-27
Artist_186,Canada,1967-01-13
Artist_187,France,1969-04-29
Artist_188,United Kingdom,1975-07-24
Artist_189,France,1992-05-20
Artist_190,France,1969-11-03
Artist_191,Germany,1968-11-23
Artist_192,Canada,1989-09-06
Artist_193,United Kingdom,1969-06-06
Artist_194,United Kingdom,1968-09-21
Artist_195,Canada,2002-12-04
Artist_196,Australia,1977-12-21
Artist_197,France,1993-05-01
Artist_198,United States,1995-09-18
Artist_199,Canada,1983-02-28
Artist_200,United Kingdom,1981-07-18
Artist_201,Canada,1966-07-02
Artist_202,United Kingdom,2003-01-29
Artist_203,United Kingdom,1967-05-22
Artist_204,France,1998-06-13
Artist_205,United States,1979-02-02
Artist_206,Australia,1972-03-19
Artist_207,France,1986-10-08
Artist_208,United Kingdom,1998-12-09
Artist_209,United Kingdom,1983-10-15
Artist_210,Australia,1969-08-19
Artist_211,Australia,1996-08-23
Artist_212,France,1988-05-08
Artist_213,France,1997-08-29
Artist_214,Germany,1990-03-14
Artist_215,United Kingdom,1977-03-20
Artist_216,United States,1985-02-13
Artist_217,Germany,1997-06-26
Artist_218,United Kingdom,1988-11-08
Artist_219,United States,1995-07-14
Artist_220,United States,1985-09-15
Artist_221,Germany,1975-05-08
Artist_222,Australia,1976-06-06
Artist_223,United Kingdom,1996-10-02
Artist_224,Canada,2003-12-03
Artist_225,United States,1991-07-10
Artist_226,United Kingdom,1991-01-03
Artist_227,Australia,1982-01-11
Artist_228,Australia,1991-01-01
Artist_229,Canada,2003-10-22
Artist_230,Canada,1988-01-11
Artist_231,Germany,1966-05-29
Artist_232,Canada,1979-01-30
Artist_233,Canada,1988-01-09
Artist_234,Canada,1998-04-29
Artist_235,Germany,1965-12-06
Artist_236,Australia,1982-12-18
Artist_237,France,2000-01-29
Artist_238,Canada,1988-03-08
Artist_239,France,1981-02-02
Artist_240,United States,2004-10-26
Artist_241,Germany,1996-01-08
Artist_242,United States,1988-07-25
Artist_243,Canada,1968-07-21
Artist_244,Canada,1977-07-16
Artist_245,Canada,1980-03-08
Artist_246,Canada,1981-06-02
Artist_247,United States,2000-03-20
Artist_248,France,1966-02-24
Artist_249,United States,1985-12-08
Artist_250,Germany,1973-07-04
Artist_251,Canada,1967-04-16
Artist_252,Germany,1981-08-01
Artist_253,France,1980-02-13
Artist_254,United Kingdom,1995-06-18
Artist_255,Canada,1996-02-14
Artist_256,United Kingdom,1981-10-18
Artist_257,United Kingdom,1975-04-24
Artist_258,United Kingdom,1996-12-27
Artist_259,France,1995-06-12
Artist_260,United Kingdom,1977-02-07
Artist_261,Canada,1977-08-21
Artist_262,Australia,1996-05-12
Artist_263,United States,1974-02-18
Artist_264,France,1975-01-07
Artist_265,United Kingdom,1994-08-03
Artist_266,France,1999-12-09
Artist_267,France,1996-07-30
Artist_268,United States,1995-12-20
Artist_269,Australia,1977-04-20
Artist_270,Canada,1997-03-11
Artist_271,United States,1976-05-15
Artist_272,Germany,1980-08-04
Artist_273,United States,1978-11-26
Artist_274,France,2004-09-04
Artist_275,Australia,1988-11-30
Artist_276,Australia,1968-03-26
Artist_277,United States,1985-02-27
Artist_278,United States,1970-09-28
Artist_279,Germany,1986-01-29
Artist_280,United Kingdom,1969-10-27
Artist_281,France,1975-01-26
Artist_282,United Kingdom,1968-05-12
Artist_283,Canada,2003-05-03
Artist_284,Canada,1984-07-28
Artist_285,Canada,1989-10-31
Artist_286,United Kingdom,1996-10-22
Artist_287,United States,1980-09-29
Artist_288,Germany,2004-09-12
Artist_289,United States,1991-03-12
Artist_290,Germany,1975-01-03
Artist_291,France,1971-02-28
Artist_292,Canada,1976-09-19
Artist_293,Canada,1986-08-13
Artist_294,Australia,1978-09-02
Artist_295,Canada,1982-07-19
Artist_296,Canada,1982-07-04
Artist_297,France,1975-08-03
Artist_298,Germany,1997-11-06
Artist_299,Canada,1979-05-04
Artist_300,Australia,1973-08-23
Artist_301,Australia,1999-08-14
Artist_302,Canada,1979-05-03
Artist_303,United Kingdom,1973-05-08
Artist_304,Germany,1976-01-08
Artist_305,United States,1973-10-17
Artist_306,Germany,1998-05-23
Artist_307,United Kingdom,1988-06-14
Artist_308,Australia,2000-05-15
Artist_309,Germany,1982-07-06
Artist_310,Canada,2001-05-19
Artist_311,Australia,1980-08-09
Artist_312,France,1982-07-01
Artist_313,United Kingdom,1970-03-07
Artist_314,France,1993-02-24
Artist_315,France,1989-04-08
Artist_316,United States,1967-01-20
Artist_317,France,1999-01-05
Artist_318,United States,1978-02-21
Artist_319,Germany,1974-06-25
Artist_320,France,1974-10-21
Artist_321,Germany,1979-11-01
Artist_322,Canada,1983-08-15
Artist_323,France,1996-08-08
Artist_324,Germany,1979-12-22
Artist_325,United Kingdom,1970-10-17
Artist_326,Germany,1986-08-17
Artist_327,France,1998-12-17
Artist_328,Canada,1973-07-14
Artist_329,United States,1979-06-03
Artist_330,United States,1965-04-16
Artist_331,Germany,1971-06-06
Artist_332,United Kingdom,1969-09-08
Artist_333,Germany,1996-02-12
Artist_334,Canada,1971-12-28
Artist_335,United States,1970-01-25
Artist_336,France,1968-11-07
Artist_337,Germany,1978-03-26
Artist_338,Canada,1967-04-09
Artist_339,Canada,1974-10-03
Artist_340,Germany,1977-03-12
Artist_341,United States,1990-01-11
Artist_342,United Kingdom,1987-10-26
Artist_343,United Kingdom,1989-08-28
Artist_344,United Kingdom,1981-10-17
Artist_345,Germany,1970-06-08
Artist_346,Germany,1977-03-04
Artist_347,France,1987-09-22
Artist_348,France,1971-11-21
Artist_349,Australia,1972-12-15
Artist_350,United Kingdom,1974-05-28
Artist_351,France,2002-07-10
Artist_352,Germany,1983-03-26
Artist_353,Canada,2003-11-01
Artist_354,Germany,2004-03-10
Artist_355,Canada,1982-05-06
Artist_356,Australia,1988-06-23
Artist_357,Canada,1971-12-03
Artist_358,Australia,2000-10-23
Artist_359,France,1986-03-12
Artist_360,Germany,1996-06-22
Artist_361,Australia,1986-05-06
Artist_362,France,1999-07-15
Artist_363,Australia,1981-02-14
Artist_364,Germany,1996-08-28
Artist_365,Australia,1995-09-25
Artist_366,Australia,1969-03-11
Artist_367,Germany,1966-05-17
Artist_368,Canada,2001-05-05
Artist_369,France,1984-01-09
Artist_370,Germany,1976-07-18
Artist_371,United States,1976-02-08
Artist_372,Germany,1976-12-03
Artist_373,United Kingdom,1990-08-30
Artist_374,France,1994-10-23
Artist_375,Australia,1976-05-12
Artist_376,United States,1975-02-13
Artist_377,Australia,2003-01-14
Artist_378,Canada,2004-12-05
Artist_379,Canada,2000-01-03
Artist_380,France,1989-02-16
Artist_381,Australia,1975-07-22
Artist_382,Australia,1980-05-10
Artist_383,United States,2004-12-12
Artist_384,United Kingdom,1982-04-12
Artist_385,Germany,1994-12-06
Artist_386,United States,1992-01-21
Artist_387,United Kingdom,1974-04-19
Artist_388,Canada,1968-08-22
Artist_389,France,1978-11-09
Artist_390,Canada,1997-11-30
Artist_391,Canada,1968-02-19
Artist_392,France,1991-01-24
Artist_393,Canada,1967-07-14
Artist_394,France,2004-02-05
Artist_395,United States,1987-03-02
Artist_396,United States,1986-11-19
Artist_397,United Kingdom,1974-10-21
Artist_398,Canada,1971-11-02
Artist_399,Australia,2002-04-22
Artist_400,United Kingdom,1980-12-03
Artist_401,Canada,2004-03-01
Artist_402,United Kingdom,1978-08-23
Artist_403,Australia,1980-02-15
Artist_404,Australia,1973-06-11
Artist_405,Australia,1986-05-15
Artist_406,Australia,1980-11-28
Artist_407,United Kingdom,2003-02-10
Artist_408,Australia,1973-05-01
Artist_409,Canada,1997-02-25
Artist_410,Germany,1975-09-21
Artist_411,United Kingdom,1972-02-05
Artist_412,United States,1987-10-24
Artist_413,Germany,1965-12-28
Artist_414,Australia,1966-03-31
Artist_415,France,1999-06-14
Artist_416,United States,1971-02-09
Artist_417,United States,1985-08-09
Artist_418,United Kingdom,2002-03-11
Artist_419,Canada,1980-12-21
Artist_420,Canada,1983-03-30
Artist_421,United States,1978-09-15
Artist_422,United Kingdom,1991-08-12
Artist_423,Australia,1974-04-02
Artist_424,Canada,1986-08-31
Artist_425,United Kingdom,1965-12-11
Artist_426,France,1968-01-22
Artist_427,Canada,1985-05-01
Artist_428,United States,1972-12-07
Artist_429,United Kingdom,1994-03-31
Artist_430,United Kingdom,1976-08-09
Artist_431,United Kingdom,1967-05-30
Artist_432,Canada,1976-11-15
Artist_433,Canada,1997-01-17
Artist_434,Australia,1990-08-19
